"","color","names","degree"
"366","#C67AF6","Piskurozyma",0
"367","#CF90F7","Piskurozyma",0
"368","#B24AF2","Plenodomus",0
"369","#F3E4FD","Pleurothecium",3
"370","#ECD3FC","Pleurothecium",1
"371","#FAF4FE","Pluteus",0
"372","#E9CBFB","Podospora",2
"373","#E4C1FA","Podospora",5
"374","#BF69F4","Prosthemium",0
"375","#B047F2","Protomyces",0
"376","#B85AF3","Pseudogymnoascus",0
"377","#FAF4FE","Pseudophialophora",3
"378","#E2BBFA","Pseudosigmoidea",1
"379","#E0B6FA","Psilocybe",8
"380","#B046F2","Ramularia",0
"381","#DBAAF9","Ramularia",4
"382","#EFDBFC","Rasamsonia",0
"383","#CE8EF7","Resinicium",0
"384","#E6C4FB","Resinicium",4
"385","#EFDBFC","Rhizidium",0
"386","#A122F0","Rhizodermea",2
"387","#C577F5","Rhizodermea",2
"388","#D194F7","Rhizodermea",0
"389","#B149F2","Rhizodermea",2
"390","#D092F7","Rhizophagus",2
"391","#FAF4FE","Rhizophydium",0
"392","#C270F5","Rhodosporidiobolus",0
"393","#D9A7F9","Rhodotorula",7
"394","#BA5EF4","Rhodotorula",20
"395","#B654F3","Robillarda",8
"396","#BC61F4","Saccharomyces",0
"397","#F3E4FD","Saitozyma",5
"398","#E9CBFB","Sakaguchia",3
"399","#FAF4FE","Sarocladium",1
"400","#D9A7F9","Scleroderma",4
"401","#FAF4FE","Scolecobasidium",2
"402","#E0B6FA","Scolecobasidium",0
"403","#C373F5","Scytalidium",20
"404","#D6A0F8","Scytalidium",0
"405","#C981F6","Scytalidium",5
"406","#DDB0F9","Scytalidium",0
"407","#E9CBFB","Serendipita",0
"408","#AC3DF2","Serendipita",4
"409","#E6C4FB","Simocybe",0
"410","#C77DF6","Sistotrema",3
"411","#B149F2","Sistotrema",0
"412","#A021F0","Sistotremastrum",4
"413","#ECD3FC","Slooffia",3
"414","#B34CF3","Solicoccozyma",0
"415","#A123F0","Solicoccozyma",0
"416","#FAF4FE","Spegazzinia",2
"417","#E6C4FB","Sphaerobolus",4
"418","#E2BBFA","Spizellomyces",4
"419","#D398F8","Sporobolomyces",0
"420","#E2BBFA","Sporobolomyces",0
"421","#B553F3","Sporobolomyces",0
"422","#C373F5","Sporobolomyces",0
"423","#D398F8","Sporothrix",0
"424","#D6A0F8","Sporothrix",0
"425","#A328F0","Sporothrix",20
"426","#AF44F2","Sporothrix",0
"427","#EFDBFC","Stagonospora",3
"428","#E0B6FA","Stemphylium",3
"429","#D7A3F8","Sugiyamaella",0
"430","#C16EF5","Symmetrospora",2
"431","#DDB0F9","Syncephalis",0
"432","#A429F0","Talaromyces",5
"433","#F3E4FD","Talaromyces",0
"434","#F3E4FD","Talaromyces",0
"435","#C77BF6","Talaromyces",0
"436","#D49AF8","Talaromyces",5
"437","#B654F3","Talaromyces",20
"438","#B24BF2","Talaromyces",0
"439","#B24BF2","Taphrina",6
"440","#CD8BF7","Thelonectria",4
"441","#FAF4FE","Thermoascus",1
"442","#F3E4FD","Thermoascus",0
"443","#ECD3FC","Thozetella",0
"444","#C373F5","Tilletiopsis",2
"445","#C87FF6","Trichocladium",0
"446","#B450F3","Trichocladium",0
"447","#A52DF0","Trichoderma",0
"448","#D091F7","Trichoderma",0
"449","#B757F3","Trichoderma",0
"450","#D7A3F8","Trichoderma",1
"451","#C16FF5","Trichoderma",6
"452","#CE8EF7","Trichoderma",0
"453","#A52CF0","Trichoderma",5
"454","#D59CF8","Udeniomyces",0
"455","#ECD3FC","Udeniomyces",0
"456","#A731F1","Udeniomyces",0
"457","#E6C4FB","Umbelopsis",0
"458","#EFDBFC","Umbelopsis",0
"459","#D49AF8","Umbelopsis",0
"460","#E2BBFA","Umbelopsis",0
"461","#CF8FF7","Umbelopsis",6
"462","#F3E4FD","Umbelopsis",2
"463","#E4C1FA","Umbelopsis",8
"464","#BF68F4","Umbelopsis",0
"465","#F3E4FD","Ustilago",0
"466","#E9CBFB","Venturia",1
"467","#C77DF6","Verruconis",20
"468","#CF8FF7","Vishniacozyma",1
"469","#D49AF8","Vishniacozyma",5
"470","#AF43F2","Vishniacozyma",3
"471","#B757F3","Vishniacozyma",0
"472","#A833F1","Vishniacozyma",0
"473","#E6C4FB","Vishniacozyma",3
"474","#AD3FF2","Vishniacozyma",0
"475","#C06CF5","Vishniacozyma",0
"476","#E6C4FB","Volutella",4
"477","#D296F7","Xenasmatella",8
"478","#CC89F7","Xylomelasma",0
"479","#ECD3FC","Zopfiella",3
"480","#ECD3FC","Zymoseptoria",4
"481","#BD65F4","Zymoseptoria",0
